,cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
0,-1.3281244719476824,1.6310824810199658,-0.8811204795076584,1.1296902222501093,-1.1296251715081516,-0.03768726266739032,-0.3543767792931642,-0.2292537247953223,29.89
1,-1.0589681660246584,-0.36294346872216127,1.048813748353073,-1.115784254631913,0.8398575771580156,1.364686522745059,0.26021700372812157,-0.6091488329443275,23.51
2,-0.2680777163740333,-0.8585141111197924,0.6047580853054711,0.3298641364580617,-0.1266478457985295,-0.22938789938890836,1.0977137730443383,-0.2292537247953223,29.22
3,-0.1120450752592368,0.4802312261629077,-0.8811204795076584,2.3468168745423563,-1.1296251715081516,-0.5497466815611098,-1.3658151853135183,-0.2292537247953223,45.85
4,-1.1964719310070726,1.2952218086841305,-0.8811204795076584,0.6229681057855826,0.5298464037568595,0.9349683169397782,-1.0217972816097793,-0.2292537247953223,18.29
5,-0.21931751602565944,-0.8585141111197924,-0.8811204795076584,0.5583858752557894,-1.1296251715081516,-1.0926840553629944,2.177440377178168,1.4531388970074153,21.86
6,-1.0794474501709752,2.0796796028111864,-0.8811204795076584,1.1296902222501093,-1.1296251715081516,0.01120283260387026,-1.0746240009051102,-0.7990963870188301,15.75
7,-0.2544248602764886,-0.8585141111197924,0.9556552176437858,0.38451063921403983,0.03747571659031783,0.6905178405834796,-0.2358387750207145,0.5305364915026882,36.64
8,0.18051612683100673,-0.8585141111197924,-0.8811204795076584,0.5583858752557894,-1.1296251715081516,1.4187229438343467,-0.14178144554366304,-0.2292537247953223,21.65
9,-1.1945215229931379,1.302267836775092,1.339157835730351,0.6577431529939319,0.511610452380321,-1.2187690379046636,-0.9921627805416677,-0.2292537247953223,28.99
10,-1.225728051216097,1.2329818938806363,1.2723942220553617,-0.6587407770364575,2.2075539303984093,-0.3953569070202897,-1.0488548695415345,-0.2292537247953223,36.35
11,-1.0189848017389918,0.503717986466113,-0.8811204795076584,0.5583858752557894,-1.1296251715081516,-0.3593326262940989,1.0410216840444702,-0.9076378464899745,6.94
12,1.0484476930320625,-0.8585141111197924,-0.8811204795076584,0.26031404204136155,-1.1296251715081516,-0.11230898702878613,-0.16755057690723896,-0.6091488329443275,27.92
13,-0.3899782172449682,1.930538674885833,-0.8811204795076584,2.3468168745423563,-1.1296251715081516,-0.5497466815611098,-2.3450421771294025,-0.7990963870188301,26.26
14,-1.0774970421570405,1.3374979772298998,2.1465317685441727,0.21063540317229026,0.14689142484954928,-0.9871843760934335,-1.8038904184943085,-0.2292537247953223,23.89
15,-0.6211015668962604,0.29351148175242575,-0.5007231457780693,0.046695894904354406,0.09218357071993355,1.1742724674780483,0.12235215093298993,1.724492545685276,49.97
16,-0.3899782172449682,1.930538674885833,-0.8811204795076584,2.3468168745423563,-1.1296251715081516,-0.5497466815611098,-2.3450421771294025,-0.2292537247953223,30.08
17,0.570597729617998,-0.8585141111197924,-0.8811204795076584,0.06159948656507636,-0.5825466302119942,0.14500730387258073,0.5282159699093103,-0.2292537247953223,44.86
18,-0.8463736925057481,-0.8585141111197924,1.0658928123164422,-0.9270054269294428,0.29277903586185794,1.4830520165596885,0.36071661604606703,-0.9076378464899745,15.04
19,0.3433751959945755,-0.8585141111197924,-0.8811204795076584,-0.132147205024302,0.3292509386149351,0.3212689631400176,0.5952157114546083,-0.2292537247953223,25.1
20,-0.46604412978843157,-0.8585141111197924,0.9541025754652978,0.7173575196368169,-0.017232137539298056,0.6866580962199569,-0.23712723158889357,-0.9076378464899745,13.36
22,-0.40460627734948035,0.9851965726818209,-0.8811204795076584,0.5583858752557894,-1.1296251715081516,-0.02739461103133477,-0.34664603988409115,-0.7990963870188301,20.42
23,-1.418818444595658,1.5723655802619527,1.6186334278582124,-0.08743643004213754,-0.21782760268122242,-1.386024626990552,-0.5154338503155136,-0.2292537247953223,33.3
24,0.5218375292696241,-0.8585141111197924,-0.8811204795076584,0.5583858752557894,-1.1296251715081516,0.6467740711302461,0.5797542326364622,-0.2292537247953223,31.74
25,0.31704468780645373,0.820789250559384,-0.8811204795076584,-0.6339014576019218,0.6939699661457068,-0.78133134337234,0.36071661604606703,-0.2292537247953223,45.3
26,0.258532447388405,0.03398278040200766,-0.8811204795076584,2.3468168745423563,-1.1296251715081516,-0.5497466815611098,-1.3658151853135183,1.4531388970074153,49.19
27,1.4385292958190539,0.38980719899556737,-0.8811204795076584,-1.3542417212034557,1.8793068056207147,-1.5777252637120702,1.431424024202646,1.4802742618752012,65.2
28,-1.0862738782197479,-0.8585141111197924,1.6543441979634392,-0.2116330272148158,-0.30900735956391534,1.0790654398445414,0.05277549625133529,-0.2292537247953223,21.54
29,-0.21931751602565944,0.3040805238888682,0.3144139979281929,0.4093499586485755,-0.035468088915836575,-0.7170022706469983,-0.34793449645227026,-0.2292537247953223,33.8
30,0.5998538498270224,-0.8585141111197924,-0.8811204795076584,0.8067790696011459,-1.1296251715081516,-0.08657735793864944,0.06437160536494416,-0.2292537247953223,32.04
